order_id,order_date,purchase_shop,logistics_provider,shipment_date,delivery_date,delivery_days,damage_flag,book_name,category,publisher,quantity,cost_per_unit,profit_per_unit_rupees,selling_price_per_unit,line_revenue,line_cost,line_profit,courier_charge,number_of_boxes,weight_kg,other_expenses
ORD001,2022-09-03,Delhi Book Hub,VR Logistics,2022-09-04,2022-09-15,11,0,The Silent Patient,Fiction,Penguin India,20,90,40,130,2600,1800,800,530.9,4,72,2282
ORD001,2022-09-03,Academic Traders,VR Logistics,2022-09-04,2022-09-15,11,0,Twisted Love,Fiction,Penguin India,20,105,50,155,3100,2100,1000,530.9,4,72,2282
ORD001,2022-09-03,Scholars Market,VR Logistics,2022-09-04,2022-09-15,11,0,It Ends With Us,Fiction,Simon & Schuster India,20,95,40,135,2700,1900,800,530.9,4,72,2282
ORD001,2022-09-03,Delhi Book Hub,VR Logistics,2022-09-04,2022-09-15,11,0,One Piece Vol 1,Manga,Viz Media India,20,110,50,160,3200,2200,1000,530.9,4,72,2282
ORD001,2022-09-03,Academic Traders,VR Logistics,2022-09-04,2022-09-15,11,0,Twisted Love,Fiction,Penguin India,20,115.5,50,165.5,3310,2310,1000,530.9,4,72,2282
ORD001,2022-09-03,Scholars Market,VR Logistics,2022-09-04,2022-09-15,11,0,One Piece Vol 1,Manga,Viz Media India,20,104.5,50,154.5,3090,2090,1000,530.9,4,72,2282
ORD001,2022-09-03,Delhi Book Hub,VR Logistics,2022-09-04,2022-09-15,11,0,Naruto Vol 1,Manga,Viz Media India,20,110,50,160,3200,2200,1000,530.9,4,72,2282
ORD001,2022-09-03,Academic Traders,VR Logistics,2022-09-04,2022-09-15,11,0,Grays Anatomy,Medical,Elsevier India,20,315,65,380,7600,6300,1300,530.9,4,72,2282
ORD001,2022-09-03,Scholars Market,VR Logistics,2022-09-04,2022-09-15,11,0,It Ends With Us,Fiction,Simon & Schuster India,20,85.5,40,125.5,2510,1710,800,530.9,4,72,2282
ORD001,2022-09-03,Delhi Book Hub,VR Logistics,2022-09-04,2022-09-15,11,0,Twisted Love,Fiction,Penguin India,20,90,40,130,2600,1800,800,530.9,4,72,2282
ORD001,2022-09-03,Academic Traders,VR Logistics,2022-09-04,2022-09-15,11,0,Twisted Love,Fiction,Penguin India,20,115.5,50,165.5,3310,2310,1000,530.9,4,72,2282
ORD001,2022-09-03,Scholars Market,VR Logistics,2022-09-04,2022-09-15,11,0,The Silent Patient,Fiction,Penguin India,20,95,40,135,2700,1900,800,530.9,4,72,2282
ORD001,2022-09-03,Delhi Book Hub,VR Logistics,2022-09-04,2022-09-15,11,0,Twisted Love,Fiction,Penguin India,20,90,40,130,2600,1800,800,530.9,4,72,2282
ORD001,2022-09-03,Academic Traders,VR Logistics,2022-09-04,2022-09-15,11,0,48 Laws of Power,Self-Help,Penguin India,20,105,50,155,3100,2100,1000,530.9,4,72,2282
ORD001,2022-09-03,Scholars Market,VR Logistics,2022-09-04,2022-09-15,11,0,Engineering Mathematics,Academic,Pearson India,20,171,65,236,4720,3420,1300,530.9,4,72,2282
ORD002,2022-10-06,Metro Book Distributors,SRB Logistics,2022-10-07,2022-10-17,10,0,Data Structures in C,Academic,McGraw Hill India,20,138,45,183,3660,2760,900,576,6,72,2211
ORD002,2022-10-06,Academic Traders,SRB Logistics,2022-10-07,2022-10-17,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,94.5,40,134.5,2690,1890,800,576,6,72,2211
ORD002,2022-10-06,Delhi Book Hub,SRB Logistics,2022-10-07,2022-10-17,10,0,48 Laws of Power,Self-Help,Penguin India,20,100,50,150,3000,2000,1000,576,6,72,2211
ORD002,2022-10-06,Metro Book Distributors,SRB Logistics,2022-10-07,2022-10-17,10,0,Twisted Love,Fiction,Penguin India,20,92,40,132,2640,1840,800,576,6,72,2211
ORD002,2022-10-06,Academic Traders,SRB Logistics,2022-10-07,2022-10-17,10,0,One Piece Vol 1,Manga,Viz Media India,20,105,50,155,3100,2100,1000,576,6,72,2211
ORD002,2022-10-06,Delhi Book Hub,SRB Logistics,2022-10-07,2022-10-17,10,0,Grays Anatomy,Medical,Elsevier India,20,250,65,315,6300,5000,1300,576,6,72,2211
ORD002,2022-10-06,Metro Book Distributors,SRB Logistics,2022-10-07,2022-10-17,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,82.8,40,122.8,2456,1656,800,576,6,72,2211
ORD002,2022-10-06,Academic Traders,SRB Logistics,2022-10-07,2022-10-17,10,0,Naruto Vol 1,Manga,Viz Media India,20,115.5,50,165.5,3310,2310,1000,576,6,72,2211
ORD002,2022-10-06,Delhi Book Hub,SRB Logistics,2022-10-07,2022-10-17,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,110,50,160,3200,2200,1000,576,6,72,2211
ORD002,2022-10-06,Metro Book Distributors,SRB Logistics,2022-10-07,2022-10-17,10,0,Twisted Love,Fiction,Penguin India,20,92,40,132,2640,1840,800,576,6,72,2211
ORD002,2022-10-06,Academic Traders,SRB Logistics,2022-10-07,2022-10-17,10,0,Engineering Mathematics,Academic,Pearson India,20,189,65,254,5080,3780,1300,576,6,72,2211
ORD002,2022-10-06,Delhi Book Hub,SRB Logistics,2022-10-07,2022-10-17,10,1,Engineering Mathematics,Academic,Pearson India,20,180,65,245,4900,3600,1300,576,6,72,2211
ORD002,2022-10-06,Metro Book Distributors,SRB Logistics,2022-10-07,2022-10-17,10,0,Twisted Love,Fiction,Penguin India,20,101.2,50,151.2,3024,2024,1000,576,6,72,2211
ORD002,2022-10-06,Academic Traders,SRB Logistics,2022-10-07,2022-10-17,10,0,Data Structures in C,Academic,McGraw Hill India,20,189,65,254,5080,3780,1300,576,6,72,2211
ORD002,2022-10-06,Delhi Book Hub,SRB Logistics,2022-10-07,2022-10-17,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,100,50,150,3000,2000,1000,576,6,72,2211
ORD003,2022-11-20,Academic Traders,IRCTC Cargo,2022-11-21,2022-11-28,7,0,Naruto Vol 1,Manga,Viz Media India,20,94.5,40,134.5,2690,1890,800,1800,6,90,2406
ORD003,2022-11-20,Delhi Book Hub,IRCTC Cargo,2022-11-21,2022-11-28,7,0,The Silent Patient,Fiction,Penguin India,20,110,50,160,3200,2200,1000,1800,6,90,2406
ORD003,2022-11-20,Scholars Market,IRCTC Cargo,2022-11-21,2022-11-28,7,0,One Piece Vol 1,Manga,Viz Media India,20,95,40,135,2700,1900,800,1800,6,90,2406
ORD003,2022-11-20,Academic Traders,IRCTC Cargo,2022-11-21,2022-11-28,7,0,Twisted Love,Fiction,Penguin India,20,94.5,40,134.5,2690,1890,800,1800,6,90,2406
ORD003,2022-11-20,Delhi Book Hub,IRCTC Cargo,2022-11-21,2022-11-28,7,1,Grays Anatomy,Medical,Elsevier India,20,250,65,315,6300,5000,1300,1800,6,90,2406
ORD003,2022-11-20,Scholars Market,IRCTC Cargo,2022-11-21,2022-11-28,7,0,Naruto Vol 1,Manga,Viz Media India,20,85.5,40,125.5,2510,1710,800,1800,6,90,2406
ORD003,2022-11-20,Academic Traders,IRCTC Cargo,2022-11-21,2022-11-28,7,0,One Piece Vol 1,Manga,Viz Media India,20,94.5,40,134.5,2690,1890,800,1800,6,90,2406
ORD003,2022-11-20,Delhi Book Hub,IRCTC Cargo,2022-11-21,2022-11-28,7,0,One Piece Vol 1,Manga,Viz Media India,20,100,50,150,3000,2000,1000,1800,6,90,2406
ORD003,2022-11-20,Scholars Market,IRCTC Cargo,2022-11-21,2022-11-28,7,0,It Ends With Us,Fiction,Simon & Schuster India,20,85.5,40,125.5,2510,1710,800,1800,6,90,2406
ORD003,2022-11-20,Academic Traders,IRCTC Cargo,2022-11-21,2022-11-28,7,0,The Silent Patient,Fiction,Penguin India,20,115.5,50,165.5,3310,2310,1000,1800,6,90,2406
ORD003,2022-11-20,Delhi Book Hub,IRCTC Cargo,2022-11-21,2022-11-28,7,0,Twisted Love,Fiction,Penguin India,20,110,50,160,3200,2200,1000,1800,6,90,2406
ORD003,2022-11-20,Scholars Market,IRCTC Cargo,2022-11-21,2022-11-28,7,0,Naruto Vol 1,Manga,Viz Media India,20,85.5,40,125.5,2510,1710,800,1800,6,90,2406
ORD003,2022-11-20,Academic Traders,IRCTC Cargo,2022-11-21,2022-11-28,7,0,It Ends With Us,Fiction,Simon & Schuster India,20,105,50,155,3100,2100,1000,1800,6,90,2406
ORD003,2022-11-20,Delhi Book Hub,IRCTC Cargo,2022-11-21,2022-11-28,7,0,One Piece Vol 1,Manga,Viz Media India,20,100,50,150,3000,2000,1000,1800,6,90,2406
ORD003,2022-11-20,Scholars Market,IRCTC Cargo,2022-11-21,2022-11-28,7,0,Twisted Love,Fiction,Penguin India,20,95,40,135,2700,1900,800,1800,6,90,2406
ORD004,2022-11-18,Metro Book Distributors,SRB Logistics,2022-11-19,2022-11-29,10,0,Grays Anatomy,Medical,Elsevier India,20,230,65,295,5900,4600,1300,672,6,84,2355
ORD004,2022-11-18,Scholars Market,SRB Logistics,2022-11-19,2022-11-29,10,0,The Silent Patient,Fiction,Penguin India,20,104.5,50,154.5,3090,2090,1000,672,6,84,2355
ORD004,2022-11-18,Academic Traders,SRB Logistics,2022-11-19,2022-11-29,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,105,50,155,3100,2100,1000,672,6,84,2355
ORD004,2022-11-18,Metro Book Distributors,SRB Logistics,2022-11-19,2022-11-29,10,0,Engineering Mathematics,Academic,Pearson India,20,165.6,65,230.6,4612,3312,1300,672,6,84,2355
ORD004,2022-11-18,Scholars Market,SRB Logistics,2022-11-19,2022-11-29,10,0,Data Structures in C,Academic,McGraw Hill India,20,171,65,236,4720,3420,1300,672,6,84,2355
ORD004,2022-11-18,Academic Traders,SRB Logistics,2022-11-19,2022-11-29,10,0,Engineering Mathematics,Academic,Pearson India,20,189,65,254,5080,3780,1300,672,6,84,2355
ORD004,2022-11-18,Metro Book Distributors,SRB Logistics,2022-11-19,2022-11-29,10,0,Data Structures in C,Academic,McGraw Hill India,20,138,45,183,3660,2760,900,672,6,84,2355
ORD004,2022-11-18,Scholars Market,SRB Logistics,2022-11-19,2022-11-29,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,95,40,135,2700,1900,800,672,6,84,2355
ORD004,2022-11-18,Academic Traders,SRB Logistics,2022-11-19,2022-11-29,10,0,48 Laws of Power,Self-Help,Penguin India,20,115.5,50,165.5,3310,2310,1000,672,6,84,2355
ORD004,2022-11-18,Metro Book Distributors,SRB Logistics,2022-11-19,2022-11-29,10,0,Naruto Vol 1,Manga,Viz Media India,20,101.2,50,151.2,3024,2024,1000,672,6,84,2355
ORD004,2022-11-18,Scholars Market,SRB Logistics,2022-11-19,2022-11-29,10,0,Twisted Love,Fiction,Penguin India,20,95,40,135,2700,1900,800,672,6,84,2355
ORD004,2022-11-18,Academic Traders,SRB Logistics,2022-11-19,2022-11-29,10,0,48 Laws of Power,Self-Help,Penguin India,20,105,50,155,3100,2100,1000,672,6,84,2355
ORD004,2022-11-18,Metro Book Distributors,SRB Logistics,2022-11-19,2022-11-29,10,0,It Ends With Us,Fiction,Simon & Schuster India,20,82.8,40,122.8,2456,1656,800,672,6,84,2355
ORD004,2022-11-18,Scholars Market,SRB Logistics,2022-11-19,2022-11-29,10,0,Naruto Vol 1,Manga,Viz Media India,20,104.5,50,154.5,3090,2090,1000,672,6,84,2355
ORD004,2022-11-18,Academic Traders,SRB Logistics,2022-11-19,2022-11-29,10,0,The Silent Patient,Fiction,Penguin India,20,105,50,155,3100,2100,1000,672,6,84,2355
ORD004,2022-11-18,Metro Book Distributors,SRB Logistics,2022-11-19,2022-11-29,10,0,Engineering Mathematics,Academic,Pearson India,20,138,45,183,3660,2760,900,672,6,84,2355
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,It Ends With Us,Fiction,Simon & Schuster India,20,110,50,160,3200,2200,1000,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,1,Data Structures in C,Academic,McGraw Hill India,20,171,65,236,4720,3420,1300,1040,4,52,2456
ORD005,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Engineering Mathematics,Academic,Pearson India,20,138,45,183,3660,2760,900,1040,4,52,2456
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,It Ends With Us,Fiction,Simon & Schuster India,20,110,50,160,3200,2200,1000,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,0,One Piece Vol 1,Manga,Viz Media India,20,95,40,135,2700,1900,800,1040,4,52,2456
ORD005,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,1,Engineering Mathematics,Academic,Pearson India,20,165.6,65,230.6,4612,3312,1300,1040,4,52,2456
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,The Silent Patient,Fiction,Penguin India,20,110,50,160,3200,2200,1000,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Naruto Vol 1,Manga,Viz Media India,20,95,40,135,2700,1900,800,1040,4,52,2456
ORD005,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Grays Anatomy,Medical,Elsevier India,20,276,65,341,6820,5520,1300,1040,4,52,2456
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,1,Twisted Love,Fiction,Penguin India,20,100,50,150,3000,2000,1000,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Engineering Mathematics,Academic,Pearson India,20,171,65,236,4720,3420,1300,1040,4,52,2456
ORD005,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Twisted Love,Fiction,Penguin India,20,92,40,132,2640,1840,800,1040,4,52,2456
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,One Piece Vol 1,Manga,Viz Media India,20,100,50,150,3000,2000,1000,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Engineering Mathematics,Academic,Pearson India,20,171,65,236,4720,3420,1300,1040,4,52,2456
ORD005,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,0,48 Laws of Power,Self-Help,Penguin India,20,92,40,132,2640,1840,800,1040,4,52,2456
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Engineering Mathematics,Academic,Pearson India,20,150,45,195,3900,3000,900,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,0,The Silent Patient,Fiction,Penguin India,20,95,40,135,2700,1900,800,1040,4,52,2456
ORD005,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,1,The Silent Patient,Fiction,Penguin India,20,82.8,40,122.8,2456,1656,800,1040,4,52,2456
ORD005,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Data Structures in C,Academic,McGraw Hill India,20,150,45,195,3900,3000,900,1040,4,52,2456
ORD005,2022-12-13,Scholars Market,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Engineering Mathematics,Academic,Pearson India,20,171,65,236,4720,3420,1300,1040,4,52,2456
ORD006,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,48 Laws of Power,Self-Help,Penguin India,20,90,40,130,2600,1800,800,1440,6,72,2350
ORD006,2022-12-13,Academic Traders,IRCTC Cargo,2022-12-14,2022-12-21,7,0,The Silent Patient,Fiction,Penguin India,20,94.5,40,134.5,2690,1890,800,1440,6,72,2350
ORD006,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Naruto Vol 1,Manga,Viz Media India,20,82.8,40,122.8,2456,1656,800,1440,6,72,2350
ORD006,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,It Ends With Us,Fiction,Simon & Schuster India,20,110,50,160,3200,2200,1000,1440,6,72,2350
ORD006,2022-12-13,Academic Traders,IRCTC Cargo,2022-12-14,2022-12-21,7,0,One Piece Vol 1,Manga,Viz Media India,20,115.5,50,165.5,3310,2310,1000,1440,6,72,2350
ORD006,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,1,The Silent Patient,Fiction,Penguin India,20,101.2,50,151.2,3024,2024,1000,1440,6,72,2350
ORD006,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,It Ends With Us,Fiction,Simon & Schuster India,20,100,50,150,3000,2000,1000,1440,6,72,2350
ORD006,2022-12-13,Academic Traders,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Naruto Vol 1,Manga,Viz Media India,20,105,50,155,3100,2100,1000,1440,6,72,2350
ORD006,2022-12-13,Metro Book Distributors,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Data Structures in C,Academic,McGraw Hill India,20,165.6,65,230.6,4612,3312,1300,1440,6,72,2350
ORD006,2022-12-13,Delhi Book Hub,IRCTC Cargo,2022-12-14,2022-12-21,7,0,The Silent Patient,Fiction,Penguin India,20,100,50,150,3000,2000,1000,1440,6,72,2350
ORD006,2022-12-13,Academic Traders,IRCTC Cargo,2022-12-14,2022-12-21,7,0,Naruto Vol 1,Manga,Viz Media India,20,94.5,40,134.5,2690,1890,800,1440,6,72,2350
