ds,yhat,yhat_lower,yhat_upper
2022-09-30,15513.716754416957,12249.348848355574,18783.001741419102
2022-10-31,15496.604242941012,12127.331348793912,18590.602762816965
2022-11-30,36682.476621789465,33632.45173570337,39856.464746982136
2022-12-31,40375.959480774836,37205.17103702991,43493.80333004222
2023-01-31,16166.671252140242,12915.120294699502,19337.604557530703
2023-02-28,16178.410666260352,13106.868216829778,19303.86962450781
2023-03-31,25911.89045664734,22589.79184853866,28976.656904598713
2023-04-30,23522.231742743927,20226.520374420634,26955.48740659331
2023-05-31,24374.942090632107,21322.162668343666,27489.72788787542
2023-06-30,44174.466263528855,41159.9718005448,47525.127894446814
2023-07-31,17472.986456179628,14525.227701642267,20743.87889975635
2023-08-31,24614.608559055283,21363.416190542048,27930.428904520326
2023-09-30,19895.974571026167,16756.685078278497,23026.218127728465
2023-10-31,19824.55984993811,16606.68164341456,23072.59938999435
2023-11-30,41395.822025732596,37927.990139552676,44718.99451850567
2023-12-31,45900.38575981285,42627.34388793317,49450.77458270817
2024-01-31,18763.74971272189,15493.314679549925,22081.74342779051
2024-02-29,26434.358983904953,23274.855969449793,29461.936997280925
2024-03-31,21408.71967382883,18023.052082921316,24572.659540606466
2024-04-30,29686.7224466164,26337.09972296119,32733.26420735311
2024-05-31,24036.78466833697,20777.20287968485,27243.585639770743
2024-06-30,50023.43378548762,46753.44609006467,53384.39119686991
2024-07-31,29419.961467693538,26060.90917602824,32671.689254387667
2024-08-31,25279.373699887117,22039.145924638528,28525.501543546172
2024-09-30,23673.934416438606,20514.45859846041,26872.640911545855
2024-10-31,23770.963312767977,20701.669881733196,27110.407732683198
2024-11-30,44125.502376564844,41145.248945314146,47294.315832177
2024-12-31,46040.78589597126,42564.58019493136,49316.014237619274
2025-01-31,27690.035348908757,24509.603928344597,30730.872372265505
2025-02-28,28536.711761693517,25515.526518156068,31778.178325789242
2025-03-31,28455.777966631733,25293.684008037162,31507.276722140232
2025-04-30,33228.481986180224,30022.162948553458,36563.671865334254
2025-05-31,29744.682859077253,26575.941031109665,32860.19767455001
2025-06-30,53715.92193253884,50618.95747203719,56899.21511493283
2025-07-31,30993.113718992936,27687.574381284936,34223.856353271105
