ds,yhat,yhat_lower,yhat_upper
2022-09-30,49804.38024098762,42970.98089732165,56068.65979807691
2022-10-31,52604.93258420067,45466.27258060397,59236.54423655369
2022-11-30,116582.24942378618,109512.03484320089,122897.67654397685
2022-12-31,125384.84402899782,118492.39695224556,132141.23977710318
2023-01-31,52425.42947590088,45360.53375729053,58835.083978663984
2023-02-28,55984.008376389334,49257.53986234344,62936.464421296325
2023-03-31,75251.44118829777,68345.91286116446,82347.35403000045
2023-04-30,69745.66028335036,62554.38807664262,77141.65587700714
2023-05-31,75536.55768571312,68995.15768520429,82460.29787050404
2023-06-30,130771.53024078303,123640.45524950554,137842.9934119413
2023-07-31,47967.735066660156,40935.44802970846,54798.01079573075
2023-08-31,72928.98933671747,66417.90098424652,80390.33743648692
2023-09-30,58817.37534450675,51718.88205841267,65730.37887035478
2023-10-31,60861.03023545534,53637.195087861764,67500.20025604941
2023-11-30,124216.08962196353,117514.80998209548,131229.9222945593
2023-12-31,133412.01710373457,126892.02850219097,140195.36452128744
2024-01-31,53642.33169186731,46689.77788516014,60500.99671943841
2024-02-29,75918.19296198653,69050.97544708781,82535.3285098855
2024-03-31,58359.42998849913,51073.743388720504,65194.49988882946
2024-04-30,80759.02864375724,73693.99080472243,88393.94579206145
2024-05-31,63209.26286788315,55787.38266736492,70174.10413548675
2024-06-30,142954.7256352369,135946.54159874943,149701.4596437074
2024-07-31,87754.85938958214,80810.51392272612,94843.47621339957
2024-08-31,69498.89409830079,62435.541907039296,76205.03034596928
2024-09-30,57822.68807098183,51097.21042161565,64669.75327690426
2024-10-31,61991.166980113834,55356.46497133763,68694.89409404258
2024-11-30,127001.2247520793,119916.24928405251,133929.66348392965
2024-12-31,134778.37811357004,127908.88201132126,141787.55174549605
2025-01-31,75683.15992330543,68764.67192225932,82773.85141637406
2025-02-28,77744.76196829719,70900.09371954919,84891.78882212368
2025-03-31,72553.26462291586,65736.35918633736,79917.3492465666
2025-04-30,85784.22155489099,79017.56490270354,92420.14516614299
2025-05-31,76065.88419774923,69117.05887114437,82445.77449816
2025-06-30,147835.7891723117,140517.94471079187,154783.8095632994
2025-07-31,83106.0940392959,76284.37903642813,89777.82429463632
