supplier_name,logistics_provider_name,Total_Profit
Metro Book Distributors,VR Logistics,247900.0
Delhi Book Hub,VR Logistics,162700.0
Academic Traders,VR Logistics,95200.0
Metro Book Distributors,SRB Logistics,45200.0
Delhi Book Hub,IRCTC Cargo,43100.0
Scholars Market,VR Logistics,41700.0
Metro Book Distributors,IRCTC Cargo,35200.0
Academic Traders,SRB Logistics,34700.0
Scholars Market,SRB Logistics,33500.0
Delhi Book Hub,SRB Logistics,30400.0
Scholars Market,IRCTC Cargo,25100.0
Academic Traders,IRCTC Cargo,23100.0
