full_date,revenue,profit,orders,avg_delivery_days,damage_rate
2022-09-03,50340.0,14400.0,1,11,0.0
2022-10-06,54080.0,15300.0,1,10,0.066666
2022-11-18,57302.0,16400.0,1,10,0.0
2022-11-20,46110.0,13700.0,1,7,0.066666
2022-12-13,128914.0,36600.0,2,7,0.162162
2023-01-15,43790.0,13800.0,1,7,0.066666
2023-02-10,59044.0,17400.0,1,10,0.055555
2023-03-20,80952.0,27800.0,1,11,0.0
2023-04-09,76950.0,26000.0,1,8,0.105263
2023-05-21,82768.0,27200.0,1,7,0.0
2023-06-18,71700.0,24900.0,1,9,0.055555
2023-06-20,64972.0,22100.0,1,7,0.0625
2023-07-07,51364.0,19900.0,1,8,0.0
2023-08-13,73648.0,26600.0,1,7,0.1
2023-09-01,56664.0,22000.0,1,11,0.0
2023-10-04,56412.0,20700.0,1,10,0.0
2023-11-12,64052.0,22600.0,1,8,0.0
2023-11-13,65116.0,23500.0,1,9,0.058823
2023-12-06,73036.0,27500.0,1,11,0.05
2023-12-15,55378.0,21100.0,1,8,0.0
2024-01-10,59188.0,20900.0,1,10,0.0
2024-02-05,72800.0,25200.0,1,7,0.055555
2024-03-05,52608.0,19500.0,1,9,0.0
2024-04-08,73568.0,27200.0,1,10,0.05
2024-05-13,56000.0,21200.0,1,11,0.0
2024-06-08,82000.0,27000.0,1,10,0.052631
2024-06-18,55160.0,20200.0,1,9,0.0
2024-07-12,84442.0,27000.0,1,8,0.055555
2024-08-04,68868.0,23300.0,1,9,0.058823
2024-09-07,59500.0,22700.0,1,9,0.117647
2024-10-05,65004.0,23100.0,1,7,0.0625
2024-11-06,51110.0,19500.0,1,9,0.066666
2024-11-08,84160.0,26500.0,1,7,0.055555
2024-12-15,80030.0,26800.0,1,7,0.0
2024-12-20,56240.0,20300.0,1,10,0.0
2025-01-17,78708.0,27900.0,1,8,0.05
